Condition;mAP50;mAP50-95;Precision;Recall;Person_mAP50;Car_mAP50;Person_Recall;Car_Recall;SOTIF_Risk
Nominal;0.6436;0.3856;0.7696;0.4828;0.5800;0.7071;0.4083;0.5573;BASELINE
Rain;0.5010;0.2841;0.7009;0.2688;0.4477;0.5543;0.2130;0.3246;HIGH ⚠
Night;0.3855;0.2169;0.6781;0.0836;0.3560;0.4150;0.0710;0.0963;CRITICAL ✖
Fog;0.6385;0.3722;0.7443;0.4775;0.5788;0.6982;0.4042;0.5508;LOW ✓
Noise;0.4053;0.2205;0.7782;0.0288;0.3854;0.4253;0.0178;0.0398;CRITICAL ✖
Glare;0.6194;0.3611;0.7805;0.4125;0.5749;0.6638;0.3254;0.4996;LOW ✓
